trade_date,predicted_pct_change,predicted_label,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback,uncalibrated_predicted_return,return_calibration_scale,return_calibration_rows,return_calibration_close_fallback
20250908,-0.00061677499929876109,0,3824.4804003299409,0.625,-0.0051082345810736784,True,0.54962869490319877,300,platt,300,0,-0.003183752009310772,0.19372582961707571,252,0
20250909,0.00090131094165527828,1,3810.7238542080704,0.6333333333333333,0.0012945945862889996,True,0.54871440620186207,300,platt,300,0,0.004652507842845926,0.19372582961707571,252,0
20250910,-0.00072221871127566538,0,3809.4679425178383,0.64166666666666672,0.016548934778496172,False,0.54784942302962492,300,platt,300,0,-0.0035636846097611098,0.20266067016634198,252,0
20250911,-0.0016275411712930224,0,3869.002174400001,0.6333333333333333,-0.0012156448721230007,True,0.54540469123009749,300,platt,300,0,-0.0084012605573044602,0.19372582961707571,252,0
20250912,0.00052376416892511112,1,3872.6256807542186,0.64166666666666672,-0.0026080721781933658,False,0.54450176393998129,300,platt,300,0,0.0027893852704844596,0.18777046486451973,252,0
20250915,-0.00040759328971475781,0,3858.9300846377205,0.6333333333333333,0.00035267419514894982,False,0.54539885450323289,300,platt,300,0,-0.0024829681812019895,0.16415566369338025,252,0
20250916,0.00062084354660878801,1,3864.2627140252089,0.6333333333333333,0.0037483960793969207,True,0.54205792508808937,300,platt,300,0,0.0039592978966103099,0.1568064749915164,252,0
20250917,0.0005483085613521945,1,3878.4663309021898,0.64166666666666672,-0.011527546506552189,False,0.54450685152509803,300,platt,300,0,0.0034967214292768159,0.1568064749915164,252,0
20250918,-0.0016378552478187511,0,3825.3805017849927,0.6333333333333333,-0.0030187468280687968,True,0.54541683811107,300,platt,300,0,-0.010445074081968637,0.1568064749915164,252,0
20250919,0.00061611986911673034,1,3822.4430329811426,0.64166666666666672,0.0022216757544992749,True,0.54450949260329207,300,platt,300,0,0.0032812395152841184,0.18777046486451973,252,0
20250922,0.00049850289955432627,1,3830.4849564365654,0.65000000000000002,-0.0017614118918979349,False,0.54361636727639184,300,platt,300,0,0.0026548525611522901,0.18777046486451973,252,0
20250923,0.0010980454173836166,1,3826.0292458822419,0.64166666666666672,0.0083231011132434141,True,0.54108336691698633,300,platt,300,0,0.0066890498486522603,0.16415566369338025,252,0
20250924,0.0010223010793054073,1,3857.5817825803165,0.64166666666666672,-8.8254171598967091e-05,False,0.54108336691698644,300,platt,300,0,0.0052770509814107818,0.19372582961707571,252,0
