trade_date,source_rows,excluded_exchange_rows,all_active_rows,all_up_fraction,all_down_fraction,all_median_return,all_mean_return,all_down_amount_fraction,all_large_down_fraction,shanghai_active_rows,shanghai_up_fraction,shanghai_down_fraction,shanghai_median_return,shanghai_mean_return,shanghai_down_amount_fraction,shanghai_large_down_fraction
20211029,4640,119,4521,0.77438619774386197,0.20990931209909311,0.013812,0.015464107498341075,0.28924501880662723,0.075646980756469806,1998,0.73723723723723722,0.24574574574574576,0.011887,0.013044325825825827,0.33274904390046361,0.090090090090090086
20211101,4647,125,4522,0.6881910659000442,0.28062804068996017,0.008598999999999999,0.012718119637328615,0.39447409422643692,0.094206103494029192,1997,0.62794191286930401,0.33850776164246371,0.0061180000000000002,0.010582229344016023,0.43006269541372844,0.12368552829243866
20211102,4650,125,4525,0.24574585635359117,0.74342541436464094,-0.016298,-0.012255860331491713,0.61786595148511814,0.4152486187845304,1997,0.25187781672508763,0.74011016524787177,-0.015406,-0.011754895843765647,0.63047809909789043,0.40010015022533801
20211103,4645,120,4525,0.65370165745856357,0.31160220994475141,0.0057999999999999996,0.0070878503867403322,0.45682640870443431,0.090386740331491716,1996,0.64679358717434865,0.31412825651302606,0.0050865000000000007,0.0059427690380761521,0.48427972336798081,0.08617234468937876
20211104,4659,133,4526,0.73177198409191335,0.23265576668139637,0.0083774999999999995,0.014178317277949624,0.26816828520520414,0.041537781705700397,1996,0.71743486973947901,0.24448897795591182,0.0078189999999999996,0.01430759619238477,0.28131503871141006,0.038577154308617231
20211105,4654,128,4526,0.39615554573574902,0.57666813963764918,-0.0043480000000000003,-0.0041082845779938136,0.60534712934508039,0.23773751657092354,1996,0.34969939879759521,0.62174348697394788,-0.0058479999999999999,-0.006891987975951904,0.67771552448291617,0.25150300601202402
20211108,4663,136,4527,0.57234371548486862,0.39606803622708198,0.0037169999999999998,0.005974525955378839,0.38117321938397025,0.12259774685222001,1996,0.55611222444889774,0.40831663326653306,0.0029814999999999998,0.0046884824649298601,0.39558895607162631,0.12424849699398798
20211109,4654,131,4523,0.68516471368560694,0.27083793942073847,0.0066469999999999993,0.011251877072739332,0.32051659925473575,0.045544992261773158,1994,0.6840521564694082,0.26930792377131396,0.006149,0.011010786860581745,0.32817259735625637,0.04212637913741224
20211110,4652,126,4526,0.60273972602739723,0.35174547061422889,0.0038925000000000001,0.0068450934600088383,0.49316687186903158,0.087494476358815729,1995,0.55739348370927322,0.38095238095238093,0.0024329999999999998,0.0049894791979949882,0.52800498421380182,0.093734335839599003
20211111,4655,130,4525,0.66607734806629837,0.303646408839779,0.0068929999999999998,0.01045327955801105,0.32234736761142402,0.066740331491712712,1994,0.67652958876629887,0.29438314944834504,0.0073604999999999999,0.010092266298896689,0.30485017312877194,0.06318956870611836
20211112,4664,134,4530,0.59845474613686533,0.358719646799117,0.0042255000000000001,0.010962741721854305,0.39150421259595641,0.070419426048565117,1997,0.55332999499248869,0.39909864797195793,0.0024550000000000002,0.0099443605408112163,0.4070755859532732,0.063595393089634453
20211115,4685,153,4532,0.66681376875551635,0.30891438658428949,0.0086770000000000007,0.0092799291703442206,0.499303210577972,0.12135922330097088,2000,0.64049999999999996,0.32750000000000001,0.0066409999999999993,0.0075030755000000003,0.54815467208361146,0.123
20211116,4681,146,4535,0.27122381477398017,0.70606394707828002,-0.010178,-0.007357126350606394,0.60116205808098078,0.29525909592061744,2002,0.28071928071928071,0.69130869130869133,-0.0085684999999999997,-0.0055915164835164842,0.60960927601251946,0.25674325674325676
