trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20260309,5184,5183,5183,1,1,-0.0068996206254124054,0.0058580093263484343,0.6345745707119429,0.62697638746858309,-0.0078948629480544447,0.49643063862627823,0.003718475614787194,0.1839080210532924,0.12870683633109373,-0.005989267280966091,-0.0080660928884418153
20260310,5182,5181,5181,1,1,1.852809422546301e-05,0.0027654587241866123,0.56243968345879169,0.49304443577317997,-0.0037515970848200331,0.48581354950781702,-0.0013050161867278131,0.31628571137270439,0.070087071602423126,0.00059332895062972463,-0.00075252763199800711
20260311,5185,5184,5184,1,1,-0.0038387252612305518,0.0036864874223518584,0.5405092592592593,0.54282742079465662,-0.0027130580260305388,0.41705246913580246,0.0041780196977235584,0.19181001235736256,0.12074162190140922,-0.0047430523300468087,-0.0026053601943829717
20260312,5185,5184,5184,1,1,-0.010479702193488458,0.0082729984863757662,0.58892746913580252,0.60413897059924104,-0.0063006489689076198,0.44772376543209874,0.0087707034834325383,0.16323314211526196,0.13706985660097851,-0.011731447021867207,-0.0088202834280786246
20260313,5184,5183,5183,1,1,-0.0083527081168197886,0.0083042705834724725,0.59058460351147979,0.5944618751174473,-0.0065036722582143981,0.48234613158402467,0.0067772331711115612,0.11245711365693575,0.18224768927859167,-0.009320748112573142,-0.0071057666572080808
20260316,5183,5182,5182,1,1,-0.0035959659025414947,0.0045491147303806517,0.58818988807410266,0.5533829112560269,-0.0053317825736521156,0.45793130065611731,0.0022308728457957989,0.16534402122386541,0.14371500567531473,-0.0020516658582600067,-0.0055980670387635288
20260317,5181,5180,5180,1,1,-0.013673233685973002,0.01083561492255794,0.60386100386100383,0.63685890010718271,-0.0081886570106773186,0.48610038610038608,0.012319916677624314,0.088132127588221296,0.19670712729998507,-0.015357508067647506,-0.011529095803981999
20260318,5181,5180,5180,1,1,0.00048539993839504707,0.0041466461796955132,0.61081081081081079,0.5025283324574501,-0.0069646721415717837,0.52799227799227799,0.00021841041200396799,0.25170947082599848,0.088784908876046162,0.0052748928511366392,-0.0059995842113938899
20260319,5181,5180,5180,1,1,-0.015533154038412008,0.012438212194136888,0.64729729729729735,0.67577589612859379,-0.010450462104671338,0.5067567567567568,0.013031149552311062,0.097125913722918525,0.17627844931810316,-0.015249820980345013,-0.01590275887168301
20260320,5182,5181,5181,1,1,-0.0087300844508496674,0.0093127337980921567,0.62729202856591393,0.5758725613636031,-0.009053461470603574,0.49855240301100173,0.0072602139716721557,0.0748525074043591,0.18442945354065499,-0.0056830590566609128,-0.012975224566110138
