trade_date,contract_rows,P_contract_rows,P_volume,P_amount,P_interest,C_contract_rows,C_volume,C_amount,C_interest,near_put_interest_share,far_put_interest_share,near_interest_share,put_interest_term_spread,matched_put_interest_growth,matched_call_interest_growth,matched_interest_imbalance,matched_contract_rows,matched_prior_interest_coverage
20251218,180,90,495356,13068.673004,651412,90,409645,17813.396848,662436,0.5113263248549792,0.47672056704853411,0.55147246865695265,0.034605757806445092,-0.0061385733729652529,-0.012008155127042151,0.0030217392947008109,172,1
20251219,180,90,399389,11521.778337,661409,90,479281,20094.104501999998,657999,0.52216868380800618,0.47856043670721743,0.52127317706122744,0.043608247100788755,0.015346662327374994,-0.0066980055431770016,0.010986050136697701,180,1
20251222,180,90,322074,8574.0064050000001,619975,90,406377,17912.915830000002,635952,0.51858344900271747,0.47218877776938584,0.46235012066784137,0.04639467123333163,-0.062645050188310111,-0.03350612994852576,-0.014693711118926063,180,1
20251223,180,90,422067,10746.453595000001,659363,90,458723,20486.065144,644621,0.54020804742925688,0.48178894021524227,0.40849197536166088,0.058419107214014609,0.063531594015887732,0.013631531939517447,0.024459224142804478,180,1
20251224,180,90,339137,9882.5633990000006,646260,90,449035,17905.721059999996,635000,0.55613342067477889,0.47605835236819438,0.35386494544432823,0.080075068306584507,-0.019872209996617946,-0.014925048982270202,-0.0026702781629222446,180,1
20251225,144,72,293036,8634.5384759999997,462970,72,260001,11644.163096,477817,,0.49210926596562238,0,,0.14690710532258514,0.078369306104381753,0.028875411146959597,126,0.64613505455567177
20251226,144,72,422296,15225.999101000001,497428,72,482276,23598.188123999997,509176,,0.49416453739504312,0,,0.074428148692139873,0.065629728536238774,0.0032940506193219082,144,1
20251229,144,72,303946,11002.454768,481219,72,317199,14771.549940999999,512163,0.47267734525342359,0.50606370104623521,0.64813233982496155,-0.033386355792811628,-0.032585620431499637,0.0058663409115904917,-0.019070061315075243,144,1
20251230,144,72,286820,11279.244939999999,477652,72,294704,13863.440552000002,508070,0.47505760350305787,0.50123968326650958,0.63665617689368803,-0.026182079763451716,-0.0074124255276703539,-0.0079915964253567708,0.00052950425918730159,144,1
20251231,144,72,294801,11545.937215999998,476645,72,305266,14390.464239999999,532076,0.45904543950245713,0.49597835564863785,0.63504973129339037,-0.036932916146180716,-0.002108229422257208,0.047249394768437418,-0.025375308657004714,144,1
20260105,144,72,545858,18000.395194000001,545987,72,599778,31243.685990000002,500711,0.52459967509863081,0.51629398601846754,0.64221389550758667,0.0083056890801632699,0.14547933996999865,-0.0589483457250468,0.099836327388841906,144,1
